year,locality_code,locality_name,population
2030,13,Teusaquillo,151494
2030,14,Los Mártires,74677
2030,15,Antonio Nariño,73609
2030,16,Puente Aranda,244991
2030,17,La Candelaria,15939
2030,18,Rafael Uribe Uribe,367090
2030,19,Ciudad Bolívar,709758
2030,20,Sumapaz,3573
2031,01,Usaquén,568192
2031,02,Chapinero,154008
2031,03,Santa Fe,112512
2031,04,San Cristóbal,388594
2031,05,Usme,410809
2031,06,Tunjuelito,170659
2031,07,Bosa,792732
2031,08,Kennedy,1101404
2031,09,Fontibón,375321
2031,10,Engativá,812278
2031,11,Suba,1245265
2031,12,Barrios Unidos,130128
2031,13,Teusaquillo,150442
2031,14,Los Mártires,74436
2031,15,Antonio Nariño,72835
2031,16,Puente Aranda,243896
2031,17,La Candelaria,15788
2031,18,Rafael Uribe Uribe,365261
2031,19,Ciudad Bolívar,713422
2031,20,Sumapaz,3614
2032,01,Usaquén,564142
2032,02,Chapinero,152617
2032,03,Santa Fe,112290
2032,04,San Cristóbal,387364
2032,05,Usme,412006
2032,06,Tunjuelito,169771
2032,07,Bosa,795414
2032,08,Kennedy,1099416
2032,09,Fontibón,373166
2032,10,Engativá,808288
2032,11,Suba,1242652
2032,12,Barrios Unidos,129152
2032,13,Teusaquillo,149297
2032,14,Los Mártires,74183
2032,15,Antonio Nariño,72075
2032,16,Puente Aranda,242721
2032,17,La Candelaria,15632
2032,18,Rafael Uribe Uribe,363394
2032,19,Ciudad Bolívar,716704
2032,20,Sumapaz,3639
2033,01,Usaquén,559866
2033,02,Chapinero,151139
2033,03,Santa Fe,112045
2033,04,San Cristóbal,386044
2033,05,Usme,413007
2033,06,Tunjuelito,168902
2033,07,Bosa,797692
2033,08,Kennedy,1097026
2033,09,Fontibón,370925
2033,10,Engativá,804128
2033,11,Suba,1239653
2033,12,Barrios Unidos,128098
2033,13,Teusaquillo,148083
2033,14,Los Mártires,73898
2033,15,Antonio Nariño,71310
2033,16,Puente Aranda,241498
2033,17,La Candelaria,15449
2033,18,Rafael Uribe Uribe,361478
2033,19,Ciudad Bolívar,719583
2033,20,Sumapaz,3659
2034,01,Usaquén,555379
2034,02,Chapinero,149634
2034,03,Santa Fe,111793
2034,04,San Cristóbal,384686
2034,05,Usme,413809
2034,06,Tunjuelito,167972
2034,07,Bosa,799585
2034,08,Kennedy,1094252
2034,09,Fontibón,368594
2034,10,Engativá,799748
2034,11,Suba,1236279
2034,12,Barrios Unidos,127038
2034,13,Teusaquillo,146766
2034,14,Los Mártires,73599
2034,15,Antonio Nariño,70554
2034,16,Puente Aranda,240186
2034,17,La Candelaria,15258
2034,18,Rafael Uribe Uribe,359464
2034,19,Ciudad Bolívar,722038
2034,20,Sumapaz,3675
2035,01,Usaquén,550679
2035,02,Chapinero,148068
2035,03,Santa Fe,111539
2035,04,San Cristóbal,383234
2035,05,Usme,414363
2035,06,Tunjuelito,167024
2035,07,Bosa,801054
2035,08,Kennedy,1091115
2035,09,Fontibón,366152
2035,10,Engativá,795153
2035,11,Suba,1232535
2035,12,Barrios Unidos,125963
2035,13,Teusaquillo,145356
2035,14,Los Mártires,73251
2035,15,Antonio Nariño,69825
2035,16,Puente Aranda,238779
2035,17,La Candelaria,15048
2035,18,Rafael Uribe Uribe,357395
2035,19,Ciudad Bolívar,724113
2035,20,Sumapaz,3678
